method,attention,type,prompt_index,prompt_text,image_path,clip_new_prompt_sim,clip_old_image_sim,clip_old_image_distance
baseline,none,1-clothes,10,A portrait of a woman wearing a vest,data/baseline/1-clothes/10.png,0.2684921622276306,0.7284308075904846,0.7369791269302368
baseline,none,2-color,1,A bear holding a red balloon.,data/baseline/2-color/1.png,0.389009028673172,0.7281595468521118,0.7373473048210144
baseline,none,2-color,2,A bear holding a yellow balloon.,data/baseline/2-color/2.png,0.41021400690078735,0.7058769464492798,0.7669721841812134
baseline,none,2-color,3,A bear holding a black balloon.,data/baseline/2-color/3.png,0.4237743616104126,0.6873201727867126,0.7907968759536743
baseline,none,2-color,4,A bear holding a pink balloon.,data/baseline/2-color/4.png,0.33858340978622437,0.8608576655387878,0.52752685546875
baseline,none,2-color,5,A bear holding a white balloon.,data/baseline/2-color/5.png,0.35625118017196655,0.8096905946731567,0.6169431209564209
baseline,none,2-color,6,A bear holding a green balloon.,data/baseline/2-color/6.png,0.3981438875198364,0.7223374247550964,0.7452014088630676
baseline,none,2-color,7,A bear holding a purple balloon.,data/baseline/2-color/7.png,0.386726975440979,0.8591816425323486,0.5306945443153381
baseline,none,2-color,8,A bear holding a orange balloon.,data/baseline/2-color/8.png,0.36667901277542114,0.7903116941452026,0.6475929021835327
baseline,none,2-color,9,A bear holding a gray balloon.,data/baseline/2-color/9.png,0.36009499430656433,0.7860350012779236,0.6541635394096375
baseline,none,2-color,10,A bear holding a brown balloon.,data/baseline/2-color/10.png,0.4143091142177582,0.7978388071060181,0.6358635425567627
baseline,none,3-decorates,1,A cake decorated with strawberries,data/baseline/3-decorates/1.png,0.32438692450523376,0.6547507047653198,0.8309624195098877
baseline,none,3-decorates,2,A cake decorated with blueberries,data/baseline/3-decorates/2.png,0.3086872696876526,0.7863967418670654,0.653610348701477
baseline,none,3-decorates,3,A cake decorated with cream,data/baseline/3-decorates/3.png,0.280961275100708,0.6272029876708984,0.863477885723114
baseline,none,3-decorates,4,A cake decorated with sprinkles,data/baseline/3-decorates/4.png,0.33989107608795166,0.6654813289642334,0.8179470300674438
baseline,none,3-decorates,5,A cake decorated with almonds,data/baseline/3-decorates/5.png,0.34093037247657776,0.6277356147766113,0.8628607988357544
baseline,none,3-decorates,6,A cake decorated with cherries,data/baseline/3-decorates/6.png,0.3437334895133972,0.742282509803772,0.7179378867149353
baseline,none,3-decorates,7,A cake decorated with mints,data/baseline/3-decorates/7.png,0.3042628765106201,0.5933424234390259,0.9018397331237793
baseline,none,3-decorates,8,A cake decorated with macarons,data/baseline/3-decorates/8.png,0.34388044476509094,0.7422952651977539,0.717920184135437
baseline,none,3-decorates,9,A cake decorated with caramel,data/baseline/3-decorates/9.png,0.2816142737865448,0.6482189893722534,0.8387859463691711
baseline,none,3-decorates,10,A cake decorated with raspberries,data/baseline/3-decorates/10.png,0.30272364616394043,0.7118442058563232,0.7591519951820374
baseline,none,4-food,1,A painting of a girl holding an apple,data/baseline/4-food/1.png,0.39984339475631714,0.6514331698417664,0.8349452614784241
baseline,none,4-food,2,A painting of a girl holding a grape,data/baseline/4-food/2.png,0.40180861949920654,0.6314034461975098,0.8585995435714722
baseline,none,4-food,3,A painting of a girl holding a pineapple,data/baseline/4-food/3.png,0.3986367881298065,0.6688913702964783,0.8137672543525696
baseline,none,4-food,4,A painting of a girl holding a watermelon,data/baseline/4-food/4.png,0.40105122327804565,0.7235056757926941,0.7436321973800659
baseline,none,4-food,5,A painting of a girl holding a mango,data/baseline/4-food/5.png,0.40570470690727234,0.739902913570404,0.7212448120117188
baseline,none,4-food,6,A painting of a girl holding a strawberry,data/baseline/4-food/6.png,0.4006490111351013,0.6648463606834412,0.8187229633331299
baseline,none,4-food,7,A painting of a girl holding a peach,data/baseline/4-food/7.png,0.4229319095611572,0.7140189409255981,0.7562819123268127
baseline,none,4-food,8,A painting of a girl holding a papaya,data/baseline/4-food/8.png,0.37021493911743164,0.7223621010780334,0.7451682090759277
baseline,none,4-food,9,A painting of a girl holding a kiwi,data/baseline/4-food/9.png,0.30880558490753174,0.6953165531158447,0.7806196212768555
baseline,none,4-food,10,A painting of a girl holding an orange,data/baseline/4-food/10.png,0.4255937337875366,0.6845419406890869,0.7943024635314941
baseline,none,5-object,1,A photo of a book on the table,data/baseline/5-object/1.png,0.25641876459121704,0.6575760841369629,0.8275553584098816
baseline,none,5-object,2,A photo of a cup on the table,data/baseline/5-object/2.png,0.32152751088142395,0.6526895761489868,0.8334389925003052
baseline,none,5-object,3,A photo of a lamp on the table,data/baseline/5-object/3.png,0.3302607238292694,0.6172292828559875,0.8749521374702454
baseline,none,5-object,4,A photo of a phone on the table,data/baseline/5-object/4.png,0.28122198581695557,0.5323187708854675,0.9671412706375122
baseline,none,5-object,5,A photo of a chair on the table,data/baseline/5-object/5.png,0.3267729878425598,0.6281080842018127,0.8624289631843567
baseline,none,5-object,6,A photo of a table on the table,data/baseline/5-object/6.png,0.2846946120262146,0.5236059427261353,0.9761086106300354
baseline,none,5-object,7,A photo of a pen on the table,data/baseline/5-object/7.png,0.34210193157196045,0.6639766693115234,0.8197841644287109
baseline,none,5-object,8,A photo of a key on the table,data/baseline/5-object/8.png,0.3469909727573395,0.5567931532859802,0.941495418548584
baseline,none,5-object,9,A photo of a bag on the table,data/baseline/5-object/9.png,0.3434595465660095,0.6971527934074402,0.7782635688781738
baseline,none,5-object,10,A photo of a clock on the table,data/baseline/5-object/10.png,0.3402785062789917,0.5501339435577393,0.9485419392585754
baseline,none,6-plants,1,A drawing of a garden filled with roses,data/baseline/6-plants/1.png,0.2797558605670929,0.552096962928772,0.9464702606201172
baseline,none,6-plants,2,A drawing of a garden filled with tulips,data/baseline/6-plants/2.png,0.3039407432079315,0.8305709958076477,0.5821151733398438
baseline,none,6-plants,3,A drawing of a garden filled with daisies,data/baseline/6-plants/3.png,0.37099793553352356,0.7084267735481262,0.7636404037475586
baseline,none,6-plants,4,A drawing of a garden filled with lavender,data/baseline/6-plants/4.png,0.28933364152908325,0.5131363868713379,0.9867761731147766
baseline,none,6-plants,5,A drawing of a garden filled with lotus,data/baseline/6-plants/5.png,0.29839274287223816,0.5516979098320007,0.9468918442726135
baseline,none,6-plants,6,A drawing of a garden filled with orchids,data/baseline/6-plants/6.png,0.28178516030311584,0.5555659532546997,0.9427980184555054
baseline,none,6-plants,7,A drawing of a garden filled with peonies,data/baseline/6-plants/7.png,0.2798364758491516,0.543702244758606,0.9552987217903137
baseline,none,6-plants,8,A drawing of a garden filled with violets,data/baseline/6-plants/8.png,0.27829182147979736,0.48346608877182007,1.0163993835449219
baseline,none,6-plants,9,A drawing of a garden filled with carnations,data/baseline/6-plants/9.png,0.2814561128616333,0.9139493107795715,0.4148513376712799
baseline,none,6-plants,10,A drawing of a garden filled with hydrangeas,data/baseline/6-plants/10.png,0.34130072593688965,0.738641619682312,0.7229915857315063
baseline,none,7-text,1,A magazine cover with the headline “FASHION”,data/baseline/7-text/1.png,0.24447982013225555,0.7650943398475647,0.685427725315094
baseline,none,7-text,2,A magazine cover with the headline “DESIGN”,data/baseline/7-text/2.png,0.21239784359931946,0.7094966769218445,0.7622378468513489
baseline,none,7-text,3,A magazine cover with the headline “TRENDS”,data/baseline/7-text/3.png,0.27204278111457825,0.6979833841323853,0.7771955132484436
baseline,none,7-text,4,A magazine cover with the headline “BEAUTY”,data/baseline/7-text/4.png,0.34392836689949036,0.4707051217556,1.028877854347229
baseline,none,7-text,5,A magazine cover with the headline “LIFESTYLE”,data/baseline/7-text/5.png,0.3366107642650604,0.6161543726921082,0.8761798143386841
baseline,none,7-text,6,A magazine cover with the headline “MODERN”,data/baseline/7-text/6.png,0.21744218468666077,0.8043792247772217,0.625493049621582
baseline,none,7-text,7,A magazine cover with the headline “ELEGANCE”,data/baseline/7-text/7.png,0.23177003860473633,0.693040132522583,0.7835304737091064
baseline,none,7-text,8,A magazine cover with the headline “GLAMOUR”,data/baseline/7-text/8.png,0.3283537030220032,0.41119998693466187,1.0851728916168213
baseline,none,7-text,9,A magazine cover with the headline “FEATURES”,data/baseline/7-text/9.png,0.23197346925735474,0.6567165851593018,0.828593373298645
baseline,none,7-text,10,A magazine cover with the headline “INSPIRE”,data/baseline/7-text/10.png,0.3297894597053528,0.7035050392150879,0.7700583934783936
baseline,none,8-texture,1,A cup with a rough surface,data/baseline/8-texture/1.png,0.3095482885837555,0.8223567008972168,0.5960593223571777
baseline,none,8-texture,2,A cup with a shiny surface,data/baseline/8-texture/2.png,0.34294646978378296,0.8110544681549072,0.6147283315658569
baseline,none,8-texture,3,A cup with a matte surface,data/baseline/8-texture/3.png,0.3104044795036316,0.8617918491363525,0.5257530808448792
baseline,none,8-texture,4,A cup with a soft surface,data/baseline/8-texture/4.png,0.3242461383342743,0.9237022995948792,0.3906344175338745
baseline,none,8-texture,5,A cup with a hard surface,data/baseline/8-texture/5.png,0.30480459332466125,0.7371398210525513,0.7250658273696899
baseline,none,8-texture,6,A cup with a sticky surface,data/baseline/8-texture/6.png,0.3086391091346741,0.6724156141281128,0.8094249367713928
baseline,none,8-texture,7,A cup with a wet surface,data/baseline/8-texture/7.png,0.31869593262672424,0.8520731925964355,0.5439242720603943
baseline,none,8-texture,8,A cup with a dry surface,data/baseline/8-texture/8.png,0.32228946685791016,0.8799416422843933,0.4900171160697937
baseline,none,8-texture,9,A cup with a grainy surface,data/baseline/8-texture/9.png,0.3362029194831848,0.8236167430877686,0.593941330909729
baseline,none,8-texture,10,A cup with a fuzzy surface,data/baseline/8-texture/10.png,0.3033204972743988,0.8572099208831787,0.5343970060348511
baseline,none,9-Transportation,1,A drawing of a boy driving a truck,data/baseline/9-Transportation/1.png,0.3265674114227295,0.7789452075958252,0.6649129986763
baseline,none,9-Transportation,2,A drawing of a boy driving a motorcycle,data/baseline/9-Transportation/2.png,0.38094794750213623,0.4751376211643219,1.0245606899261475
baseline,none,9-Transportation,3,A drawing of a boy driving a bus,data/baseline/9-Transportation/3.png,0.3577372431755066,0.6167533993721008,0.8754958510398865
baseline,none,9-Transportation,4,A drawing of a boy driving a bicycle,data/baseline/9-Transportation/4.png,0.3159189820289612,0.5557138323783875,0.9426411390304565
baseline,none,9-Transportation,5,A drawing of a boy driving a scooter,data/baseline/9-Transportation/5.png,0.4033556580543518,0.44653597474098206,1.052106261253357
baseline,none,9-Transportation,6,A drawing of a boy driving a train,data/baseline/9-Transportation/6.png,0.30940890312194824,0.5219910740852356,0.9777616262435913
baseline,none,9-Transportation,7,A drawing of a boy driving a submarine,data/baseline/9-Transportation/7.png,0.42098668217658997,0.5436750054359436,0.9553271532058716
baseline,none,9-Transportation,8,A drawing of a boy driving a helicopter,data/baseline/9-Transportation/8.png,0.3267967700958252,0.5810657143592834,0.9153515100479126
baseline,none,9-Transportation,9,A drawing of a boy driving a jet,data/baseline/9-Transportation/9.png,0.3615659177303314,0.6006805896759033,0.8936659097671509
baseline,none,9-Transportation,10,A drawing of a boy driving a spaceship,data/baseline/9-Transportation/10.png,0.36497145891189575,0.6082069873809814,0.8852038383483887
replace,self,0-animal,1,A photo of a cat riding a bicycle,data/replace/0-animal/1.png,0.41362354159355164,0.8655918836593628,0.5184749960899353
replace,self,0-animal,2,A photo of a dog riding a bicycle,data/replace/0-animal/2.png,0.35915130376815796,0.8597725629806519,0.5295798182487488
replace,self,0-animal,3,A photo of a lion riding a bicycle,data/replace/0-animal/3.png,0.38926878571510315,0.8684613704681396,0.5129107236862183
replace,self,0-animal,4,A photo of a tiger riding a bicycle,data/replace/0-animal/4.png,0.42048707604408264,0.8150076866149902,0.6082634925842285
replace,self,0-animal,5,A photo of a rabbit riding a bicycle,data/replace/0-animal/5.png,0.41800227761268616,0.8694013357162476,0.5110747218132019
replace,self,0-animal,6,A photo of a panda riding a bicycle,data/replace/0-animal/6.png,0.42179417610168457,0.8881849050521851,0.47289562225341797
replace,self,0-animal,7,A photo of a fox riding a bicycle,data/replace/0-animal/7.png,0.4213215708732605,0.866509735584259,0.5167015194892883
replace,self,0-animal,8,A photo of a wolf riding a bicycle,data/replace/0-animal/8.png,0.339682936668396,0.8521803021430969,0.5437273383140564
replace,self,0-animal,9,A photo of a monkey riding a bicycle,data/replace/0-animal/9.png,0.4217509925365448,0.8786307573318481,0.49268490076065063
replace,self,0-animal,10,A photo of an elephant riding a bicycle,data/replace/0-animal/10.png,0.4028363823890686,0.8793659210205078,0.49119076132774353
replace,self,1-clothes,1,A portrait of a woman wearing a jacket,data/replace/1-clothes/1.png,0.25174081325531006,0.807429313659668,0.6205975413322449
replace,self,1-clothes,2,A portrait of a woman wearing a sweater,data/replace/1-clothes/2.png,0.2892717719078064,0.8808619976043701,0.48813509941101074
replace,self,1-clothes,3,A portrait of a woman wearing a skirt,data/replace/1-clothes/3.png,0.252277135848999,0.8491591215133667,0.5492554903030396
replace,self,1-clothes,4,A portrait of a woman wearing a coat,data/replace/1-clothes/4.png,0.24497553706169128,0.8011205196380615,0.6306813955307007
replace,self,1-clothes,5,A portrait of a woman wearing a shirt,data/replace/1-clothes/5.png,0.2652757167816162,0.846552848815918,0.5539803504943848
replace,self,1-clothes,6,A portrait of a woman wearing a scarf,data/replace/1-clothes/6.png,0.2608273923397064,0.9671380519866943,0.25636640191078186
replace,self,1-clothes,7,A portrait of a woman wearing a hoodie,data/replace/1-clothes/7.png,0.27270185947418213,0.6567217111587524,0.8285870552062988
replace,self,1-clothes,8,A portrait of a woman wearing a blouse,data/replace/1-clothes/8.png,0.2657909691333771,0.9528010487556458,0.30724194645881653
replace,self,1-clothes,9,A portrait of a woman wearing a suit,data/replace/1-clothes/9.png,0.27332550287246704,0.8007646799087524,0.6312452554702759
replace,self,1-clothes,10,A portrait of a woman wearing a vest,data/replace/1-clothes/10.png,0.27524107694625854,0.9012300968170166,0.44445425271987915
replace,self,2-color,1,A bear holding a red balloon.,data/replace/2-color/1.png,0.3515254259109497,0.9263656139373779,0.38375601172447205
replace,self,2-color,2,A bear holding a yellow balloon.,data/replace/2-color/2.png,0.3274187445640564,0.9194327592849731,0.4014155864715576
replace,self,2-color,3,A bear holding a black balloon.,data/replace/2-color/3.png,0.32332634925842285,0.9586517810821533,0.28757011890411377
replace,self,2-color,4,A bear holding a pink balloon.,data/replace/2-color/4.png,0.37525278329849243,0.9486414790153503,0.32049494981765747
replace,self,2-color,5,A bear holding a white balloon.,data/replace/2-color/5.png,0.36617863178253174,0.9490441083908081,0.3192364275455475
replace,self,2-color,6,A bear holding a green balloon.,data/replace/2-color/6.png,0.3524884581565857,0.9707464575767517,0.24188177287578583
replace,self,2-color,7,A bear holding a purple balloon.,data/replace/2-color/7.png,0.37746739387512207,0.9601086378097534,0.28245869278907776
replace,self,2-color,8,A bear holding a orange balloon.,data/replace/2-color/8.png,0.37755143642425537,0.9344278573989868,0.36213865876197815
replace,self,2-color,9,A bear holding a gray balloon.,data/replace/2-color/9.png,0.33436936140060425,0.9611797332763672,0.2786405384540558
replace,self,2-color,10,A bear holding a brown balloon.,data/replace/2-color/10.png,0.3677877187728882,0.9001634120941162,0.4468480050563812
replace,self,3-decorates,1,A cake decorated with strawberries,data/replace/3-decorates/1.png,0.2884434163570404,0.8850324153900146,0.47951531410217285
replace,self,3-decorates,2,A cake decorated with blueberries,data/replace/3-decorates/2.png,0.29330551624298096,0.861470103263855,0.5263647437095642
replace,self,3-decorates,3,A cake decorated with cream,data/replace/3-decorates/3.png,0.28435975313186646,0.8125027418136597,0.6123678088188171
replace,self,3-decorates,4,A cake decorated with sprinkles,data/replace/3-decorates/4.png,0.29621922969818115,0.8863861560821533,0.47668400406837463
replace,self,3-decorates,5,A cake decorated with almonds,data/replace/3-decorates/5.png,0.2993648648262024,0.9174681305885315,0.4062803387641907
replace,self,3-decorates,6,A cake decorated with cherries,data/replace/3-decorates/6.png,0.2913046181201935,0.876286506652832,0.4974201023578644
replace,self,3-decorates,7,A cake decorated with mints,data/replace/3-decorates/7.png,0.3129148483276367,0.8592728972434998,0.5305224657058716
replace,self,3-decorates,8,A cake decorated with macarons,data/replace/3-decorates/8.png,0.2501039505004883,0.9248843789100647,0.38759663701057434
replace,self,3-decorates,9,A cake decorated with caramel,data/replace/3-decorates/9.png,0.2535078823566437,0.9380913972854614,0.35187646746635437
replace,self,3-decorates,10,A cake decorated with raspberries,data/replace/3-decorates/10.png,0.29899969696998596,0.8917807340621948,0.4652293026447296
replace,self,4-food,1,A painting of a girl holding an apple,data/replace/4-food/1.png,0.39310646057128906,0.7446127533912659,0.7146849632263184
replace,self,4-food,2,A painting of a girl holding a grape,data/replace/4-food/2.png,0.3916500210762024,0.7295085787773132,0.7355154752731323
replace,self,4-food,3,A painting of a girl holding a pineapple,data/replace/4-food/3.png,0.353732705116272,0.7377036809921265,0.7242878079414368
replace,self,4-food,4,A painting of a girl holding a watermelon,data/replace/4-food/4.png,0.3138415813446045,0.8236696720123291,0.5938523411750793
replace,self,4-food,5,A painting of a girl holding a mango,data/replace/4-food/5.png,0.39212316274642944,0.8317100405693054,0.580155074596405
replace,self,4-food,6,A painting of a girl holding a strawberry,data/replace/4-food/6.png,0.384411484003067,0.7590826749801636,0.6941432356834412
replace,self,4-food,7,A painting of a girl holding a peach,data/replace/4-food/7.png,0.36634349822998047,0.7763785719871521,0.66876220703125
replace,self,4-food,8,A painting of a girl holding a papaya,data/replace/4-food/8.png,0.3334847688674927,0.8232148885726929,0.5946176648139954
replace,self,4-food,9,A painting of a girl holding a kiwi,data/replace/4-food/9.png,0.3366813063621521,0.7835384607315063,0.6579688787460327
replace,self,4-food,10,A painting of a girl holding an orange,data/replace/4-food/10.png,0.39264726638793945,0.7860312461853027,0.654169499874115
replace,self,5-object,1,A photo of a book on the table,data/replace/5-object/1.png,0.3081730306148529,0.7127513885498047,0.75795578956604
replace,self,5-object,2,A photo of a cup on the table,data/replace/5-object/2.png,0.32850244641304016,0.8072021007537842,0.6209635734558105
replace,self,5-object,3,A photo of a lamp on the table,data/replace/5-object/3.png,0.3189179003238678,0.6722531318664551,0.8096255660057068
replace,self,5-object,4,A photo of a phone on the table,data/replace/5-object/4.png,0.28181493282318115,0.6943981051445007,0.7817950248718262
replace,self,5-object,5,A photo of a chair on the table,data/replace/5-object/5.png,0.2790769338607788,0.7361241579055786,0.726465106010437
replace,self,5-object,6,A photo of a table on the table,data/replace/5-object/6.png,0.2806190550327301,0.7692915797233582,0.6792766451835632
replace,self,5-object,7,A photo of a pen on the table,data/replace/5-object/7.png,0.2961415648460388,0.7025492191314697,0.7712985277175903
replace,self,5-object,8,A photo of a key on the table,data/replace/5-object/8.png,0.23416836559772491,0.6121920347213745,0.8806905150413513
replace,self,5-object,9,A photo of a bag on the table,data/replace/5-object/9.png,0.3129889965057373,0.677088737487793,0.8036308288574219
replace,self,5-object,10,A photo of a clock on the table,data/replace/5-object/10.png,0.35271140933036804,0.7068390846252441,0.7657164931297302
replace,self,6-plants,1,A drawing of a garden filled with roses,data/replace/6-plants/1.png,0.3425866365432739,0.9129670858383179,0.4172118902206421
replace,self,6-plants,2,A drawing of a garden filled with tulips,data/replace/6-plants/2.png,0.3398348093032837,0.9106369018554688,0.42276015877723694
replace,self,6-plants,3,A drawing of a garden filled with daisies,data/replace/6-plants/3.png,0.36772334575653076,0.931387186050415,0.3704394996166229
replace,self,6-plants,4,A drawing of a garden filled with lavender,data/replace/6-plants/4.png,0.2901800870895386,0.8383743166923523,0.5685520768165588
replace,self,6-plants,5,A drawing of a garden filled with lotus,data/replace/6-plants/5.png,0.3443359136581421,0.84523606300354,0.556352436542511
replace,self,6-plants,6,A drawing of a garden filled with orchids,data/replace/6-plants/6.png,0.33877822756767273,0.8745923042297363,0.50081467628479
replace,self,6-plants,7,A drawing of a garden filled with peonies,data/replace/6-plants/7.png,0.336499959230423,0.9143825769424438,0.4138053357601166
replace,self,6-plants,8,A drawing of a garden filled with violets,data/replace/6-plants/8.png,0.32184869050979614,0.9112358093261719,0.4213409721851349
replace,self,6-plants,9,A drawing of a garden filled with carnations,data/replace/6-plants/9.png,0.3221001625061035,0.922767698764801,0.3930198550224304
replace,self,6-plants,10,A drawing of a garden filled with hydrangeas,data/replace/6-plants/10.png,0.3458234965801239,0.9116024971008301,0.4204699993133545
replace,self,7-text,1,A magazine cover with the headline “FASHION”,data/replace/7-text/1.png,0.25293585658073425,0.9664427638053894,0.2590646743774414
replace,self,7-text,2,A magazine cover with the headline “DESIGN”,data/replace/7-text/2.png,0.23860877752304077,0.9152189493179321,0.4117790162563324
replace,self,7-text,3,A magazine cover with the headline “TRENDS”,data/replace/7-text/3.png,0.21728625893592834,0.9621643424034119,0.27508440613746643
replace,self,7-text,4,A magazine cover with the headline “BEAUTY”,data/replace/7-text/4.png,0.25146979093551636,0.9015058279037476,0.4438335597515106
replace,self,7-text,5,A magazine cover with the headline “LIFESTYLE”,data/replace/7-text/5.png,0.21316522359848022,0.9873210191726685,0.15924187004566193
replace,self,7-text,6,A magazine cover with the headline “MODERN”,data/replace/7-text/6.png,0.23977743089199066,0.9641999006271362,0.2675822377204895
replace,self,7-text,7,A magazine cover with the headline “ELEGANCE”,data/replace/7-text/7.png,0.24319502711296082,0.9449520111083984,0.33180713653564453
replace,self,7-text,8,A magazine cover with the headline “GLAMOUR”,data/replace/7-text/8.png,0.2199271321296692,0.918035089969635,0.40488219261169434
replace,self,7-text,9,A magazine cover with the headline “FEATURES”,data/replace/7-text/9.png,0.24540194869041443,0.9789127707481384,0.2053643763065338
replace,self,7-text,10,A magazine cover with the headline “INSPIRE”,data/replace/7-text/10.png,0.22734162211418152,0.9582688212394714,0.2888985872268677
replace,self,8-texture,1,A cup with a rough surface,data/replace/8-texture/1.png,0.3159896731376648,0.969384491443634,0.2474489063024521
replace,self,8-texture,2,A cup with a shiny surface,data/replace/8-texture/2.png,0.32095348834991455,0.9804925918579102,0.19752147793769836
replace,self,8-texture,3,A cup with a matte surface,data/replace/8-texture/3.png,0.3046460747718811,0.9342938661575317,0.3625084161758423
replace,self,8-texture,4,A cup with a soft surface,data/replace/8-texture/4.png,0.32259535789489746,0.9803219437599182,0.1983836591243744
replace,self,8-texture,5,A cup with a hard surface,data/replace/8-texture/5.png,0.3080509901046753,0.9624203443527222,0.27415189146995544
replace,self,8-texture,6,A cup with a sticky surface,data/replace/8-texture/6.png,0.31650757789611816,0.9456954598426819,0.32955896854400635
replace,self,8-texture,7,A cup with a wet surface,data/replace/8-texture/7.png,0.33388766646385193,0.9023503065109253,0.4419268071651459
replace,self,8-texture,8,A cup with a dry surface,data/replace/8-texture/8.png,0.31621354818344116,0.9309509992599487,0.3716151714324951
replace,self,8-texture,9,A cup with a grainy surface,data/replace/8-texture/9.png,0.3349876403808594,0.9400870203971863,0.34615862369537354
replace,self,8-texture,10,A cup with a fuzzy surface,data/replace/8-texture/10.png,0.32480353116989136,0.9824845790863037,0.18716514110565186
replace,self,9-Transportation,1,A drawing of a boy driving a truck,data/replace/9-Transportation/1.png,0.24989213049411774,0.9349794387817383,0.36061185598373413
replace,self,9-Transportation,2,A drawing of a boy driving a motorcycle,data/replace/9-Transportation/2.png,0.35799139738082886,0.7122455835342407,0.7586228847503662
replace,self,9-Transportation,3,A drawing of a boy driving a bus,data/replace/9-Transportation/3.png,0.23838239908218384,0.9152278900146484,0.41175729036331177
replace,self,9-Transportation,4,A drawing of a boy driving a bicycle,data/replace/9-Transportation/4.png,0.37691646814346313,0.5891869068145752,0.9064359068870544
replace,self,9-Transportation,5,A drawing of a boy driving a scooter,data/replace/9-Transportation/5.png,0.21736791729927063,0.8766322135925293,0.49672454595565796
replace,self,9-Transportation,6,A drawing of a boy driving a train,data/replace/9-Transportation/6.png,0.24785879254341125,0.917960524559021,0.40506625175476074
replace,self,9-Transportation,7,A drawing of a boy driving a submarine,data/replace/9-Transportation/7.png,0.32280272245407104,0.8397454023361206,0.5661351680755615
replace,self,9-Transportation,8,A drawing of a boy driving a helicopter,data/replace/9-Transportation/8.png,0.28004664182662964,0.8927907943725586,0.4630533456802368
replace,self,9-Transportation,9,A drawing of a boy driving a jet,data/replace/9-Transportation/9.png,0.2766141891479492,0.9212298393249512,0.3969135582447052
replace,self,9-Transportation,10,A drawing of a boy driving a spaceship,data/replace/9-Transportation/10.png,0.255877286195755,0.9220050573348999,0.3949556350708008
linear,self,0-animal,1,A photo of a cat riding a bicycle,data/linear/self/0-animal/1.png,0.41354867815971375,0.8376935720443726,0.5697481036186218
linear,self,0-animal,2,A photo of a dog riding a bicycle,data/linear/self/0-animal/2.png,0.364114373922348,0.8879646062850952,0.47336137294769287
linear,self,0-animal,3,A photo of a lion riding a bicycle,data/linear/self/0-animal/3.png,0.4099622070789337,0.8470120429992676,0.5531508922576904
linear,self,0-animal,4,A photo of a tiger riding a bicycle,data/linear/self/0-animal/4.png,0.4158419668674469,0.8206113576889038,0.5989803075790405
linear,self,0-animal,5,A photo of a rabbit riding a bicycle,data/linear/self/0-animal/5.png,0.4294200539588928,0.8739064335823059,0.5021824240684509
