method,attention,type,prompt_index,prompt_text,image_path,clip_new_prompt_sim,clip_old_image_sim,dino_struct_dist
baseline,none,6-plants,10,A drawing of a garden filled with hydrangeas,data_new/baseline/6-plants/10.png,0.3197328448295593,0.811307430267334,0.08244285732507706
baseline,none,7-text,1,A magazine cover with the headline “FASHION”,data_new/baseline/7-text/1.png,0.23489561676979065,0.8753080368041992,0.02022329904139042
baseline,none,7-text,2,A magazine cover with the headline “DESIGN”,data_new/baseline/7-text/2.png,0.2398632913827896,0.7785395383834839,0.036786824464797974
baseline,none,7-text,3,A magazine cover with the headline “TRENDS”,data_new/baseline/7-text/3.png,0.27824246883392334,0.8041626811027527,0.02700268290936947
baseline,none,7-text,4,A magazine cover with the headline “BEAUTY”,data_new/baseline/7-text/4.png,0.3092867136001587,0.5168702602386475,0.09521527588367462
baseline,none,7-text,5,A magazine cover with the headline “LIFESTYLE”,data_new/baseline/7-text/5.png,0.3416316509246826,0.7482975125312805,0.02915184758603573
baseline,none,7-text,6,A magazine cover with the headline “MODERN”,data_new/baseline/7-text/6.png,0.25979650020599365,0.8585944771766663,0.02296687848865986
baseline,none,7-text,7,A magazine cover with the headline “ELEGANCE”,data_new/baseline/7-text/7.png,0.2590827941894531,0.8135812282562256,0.02272174321115017
baseline,none,7-text,8,A magazine cover with the headline “GLAMOUR”,data_new/baseline/7-text/8.png,0.3307091295719147,0.542351245880127,0.0974220335483551
baseline,none,7-text,9,A magazine cover with the headline “FEATURES”,data_new/baseline/7-text/9.png,0.24650856852531433,0.763687252998352,0.024787066504359245
baseline,none,7-text,10,A magazine cover with the headline “INSPIRE”,data_new/baseline/7-text/10.png,0.2922467887401581,0.8159688711166382,0.020634517073631287
baseline,none,8-texture,1,A cup with a rough surface,data_new/baseline/8-texture/1.png,0.2824455797672272,0.9168593883514404,0.11270832270383835
baseline,none,8-texture,2,A cup with a shiny surface,data_new/baseline/8-texture/2.png,0.30759456753730774,0.927647054195404,0.15793797373771667
baseline,none,8-texture,3,A cup with a matte surface,data_new/baseline/8-texture/3.png,0.312106192111969,0.9522826671600342,0.05754411965608597
baseline,none,8-texture,4,A cup with a soft surface,data_new/baseline/8-texture/4.png,0.2982967793941498,0.9598780274391174,0.02406357415020466
baseline,none,8-texture,5,A cup with a hard surface,data_new/baseline/8-texture/5.png,0.2991786301136017,0.8880903720855713,0.11241421103477478
baseline,none,8-texture,6,A cup with a sticky surface,data_new/baseline/8-texture/6.png,0.30208638310432434,0.8507459759712219,0.12459561228752136
baseline,none,8-texture,7,A cup with a wet surface,data_new/baseline/8-texture/7.png,0.2692076563835144,0.9009346961975098,0.0313892662525177
baseline,none,8-texture,8,A cup with a dry surface,data_new/baseline/8-texture/8.png,0.2667842507362366,0.9194844365119934,0.032745812088251114
baseline,none,8-texture,9,A cup with a grainy surface,data_new/baseline/8-texture/9.png,0.30202916264533997,0.9252885580062866,0.04261411726474762
baseline,none,8-texture,10,A cup with a fuzzy surface,data_new/baseline/8-texture/10.png,0.27761781215667725,0.9218573570251465,0.06265199929475784
baseline,none,9-Transportation,1,A drawing of a boy driving a truck,data_new/baseline/9-Transportation/1.png,0.3146537244319916,0.8588958978652954,0.050189632922410965
baseline,none,9-Transportation,2,A drawing of a boy driving a motorcycle,data_new/baseline/9-Transportation/2.png,0.33877456188201904,0.690824568271637,0.14172962307929993
baseline,none,9-Transportation,3,A drawing of a boy driving a bus,data_new/baseline/9-Transportation/3.png,0.3235361874103546,0.807614803314209,0.05524434894323349
baseline,none,9-Transportation,4,A drawing of a boy driving a bicycle,data_new/baseline/9-Transportation/4.png,0.3011210560798645,0.7734562158584595,0.2025059163570404
baseline,none,9-Transportation,5,A drawing of a boy driving a scooter,data_new/baseline/9-Transportation/5.png,0.35514122247695923,0.7277049422264099,0.12284412980079651
baseline,none,9-Transportation,6,A drawing of a boy driving a train,data_new/baseline/9-Transportation/6.png,0.31163233518600464,0.7502213716506958,0.06924740970134735
baseline,none,9-Transportation,7,A drawing of a boy driving a submarine,data_new/baseline/9-Transportation/7.png,0.3013284504413605,0.7064695954322815,0.1100110411643982
baseline,none,9-Transportation,8,A drawing of a boy driving a helicopter,data_new/baseline/9-Transportation/8.png,0.34073078632354736,0.7531026601791382,0.1374426931142807
baseline,none,9-Transportation,9,A drawing of a boy driving a jet,data_new/baseline/9-Transportation/9.png,0.3093416094779968,0.7633402347564697,0.1029367446899414
baseline,none,9-Transportation,10,A drawing of a boy driving a spaceship,data_new/baseline/9-Transportation/10.png,0.2803770899772644,0.7981100082397461,0.08892084658145905
replace,self,0-animal,1,A photo of a cat riding a bicycle,data_new/replace/0-animal/1.png,0.325663685798645,0.9036318063735962,0.03019591234624386
replace,self,0-animal,2,A photo of a dog riding a bicycle,data_new/replace/0-animal/2.png,0.3547631800174713,0.9050945043563843,0.02614487148821354
replace,self,0-animal,3,A photo of a lion riding a bicycle,data_new/replace/0-animal/3.png,0.3288450241088867,0.8987095355987549,0.021386083215475082
replace,self,0-animal,4,A photo of a tiger riding a bicycle,data_new/replace/0-animal/4.png,0.29110538959503174,0.8348627090454102,0.024983813986182213
replace,self,0-animal,5,A photo of a rabbit riding a bicycle,data_new/replace/0-animal/5.png,0.3700029253959656,0.8562896847724915,0.039135921746492386
replace,self,0-animal,6,A photo of a panda riding a bicycle,data_new/replace/0-animal/6.png,0.3894929587841034,0.8883436918258667,0.030619531869888306
replace,self,0-animal,7,A photo of a fox riding a bicycle,data_new/replace/0-animal/7.png,0.3987276554107666,0.8843865394592285,0.026003427803516388
replace,self,0-animal,8,A photo of a wolf riding a bicycle,data_new/replace/0-animal/8.png,0.29141104221343994,0.8404324054718018,0.020310793071985245
replace,self,0-animal,9,A photo of a monkey riding a bicycle,data_new/replace/0-animal/9.png,0.32008159160614014,0.8927028179168701,0.012264162302017212
replace,self,0-animal,10,A photo of an elephant riding a bicycle,data_new/replace/0-animal/10.png,0.3573743999004364,0.8706933259963989,0.026194332167506218
replace,self,1-clothes,1,A portrait of a woman wearing a jacket,data_new/replace/1-clothes/1.png,0.29395216703414917,0.9606044292449951,0.010835247114300728
replace,self,1-clothes,2,A portrait of a woman wearing a sweater,data_new/replace/1-clothes/2.png,0.29307273030281067,0.8678686022758484,0.018490932881832123
replace,self,1-clothes,3,A portrait of a woman wearing a skirt,data_new/replace/1-clothes/3.png,0.2789936065673828,0.9829127788543701,0.0039589484222233295
replace,self,1-clothes,4,A portrait of a woman wearing a coat,data_new/replace/1-clothes/4.png,0.3115915060043335,0.9289858341217041,0.014098570682108402
replace,self,1-clothes,5,A portrait of a woman wearing a shirt,data_new/replace/1-clothes/5.png,0.25472745299339294,0.9367296695709229,0.012428843416273594
replace,self,1-clothes,6,A portrait of a woman wearing a scarf,data_new/replace/1-clothes/6.png,0.3395528793334961,0.9296501874923706,0.0222657211124897
replace,self,1-clothes,7,A portrait of a woman wearing a hoodie,data_new/replace/1-clothes/7.png,0.29258638620376587,0.8894106149673462,0.02141740173101425
replace,self,1-clothes,8,A portrait of a woman wearing a blouse,data_new/replace/1-clothes/8.png,0.29690271615982056,0.9851745367050171,0.007114351727068424
replace,self,1-clothes,9,A portrait of a woman wearing a suit,data_new/replace/1-clothes/9.png,0.2730877995491028,0.9432140588760376,0.012468159198760986
replace,self,1-clothes,10,A portrait of a woman wearing a vest,data_new/replace/1-clothes/10.png,0.3258734941482544,0.9543933868408203,0.01026803907006979
replace,self,2-color,1,A bear holding a red balloon.,data_new/replace/2-color/1.png,0.3307992219924927,0.9399653673171997,0.012322379276156425
replace,self,2-color,2,A bear holding a yellow balloon.,data_new/replace/2-color/2.png,0.3224932849407196,0.9514113664627075,0.01096540316939354
replace,self,2-color,3,A bear holding a black balloon.,data_new/replace/2-color/3.png,0.3210739493370056,0.9885063767433167,0.002214152133092284
replace,self,2-color,4,A bear holding a pink balloon.,data_new/replace/2-color/4.png,0.3528568148612976,0.9374068975448608,0.012775165028870106
replace,self,2-color,5,A bear holding a white balloon.,data_new/replace/2-color/5.png,0.32850176095962524,0.9573602080345154,0.007979036308825016
replace,self,2-color,6,A bear holding a green balloon.,data_new/replace/2-color/6.png,0.31920570135116577,0.9611262083053589,0.005842207930982113
replace,self,2-color,7,A bear holding a purple balloon.,data_new/replace/2-color/7.png,0.36309611797332764,0.967368483543396,0.007889969274401665
replace,self,2-color,8,A bear holding a orange balloon.,data_new/replace/2-color/8.png,0.34322842955589294,0.9640700221061707,0.00809781439602375
replace,self,2-color,9,A bear holding a gray balloon.,data_new/replace/2-color/9.png,0.3280758857727051,0.9759595990180969,0.005520784296095371
replace,self,2-color,10,A bear holding a brown balloon.,data_new/replace/2-color/10.png,0.3127085566520691,0.9422205686569214,0.013511882163584232
replace,self,3-decorates,1,A cake decorated with strawberries,data_new/replace/3-decorates/1.png,0.3210858702659607,0.8768225908279419,0.023247038945555687
replace,self,3-decorates,2,A cake decorated with blueberries,data_new/replace/3-decorates/2.png,0.3174015283584595,0.9092192649841309,0.021032877266407013
replace,self,3-decorates,3,A cake decorated with cream,data_new/replace/3-decorates/3.png,0.290320485830307,0.9405666589736938,0.01965343952178955
replace,self,3-decorates,4,A cake decorated with sprinkles,data_new/replace/3-decorates/4.png,0.31347954273223877,0.9333029985427856,0.01658373326063156
replace,self,3-decorates,5,A cake decorated with almonds,data_new/replace/3-decorates/5.png,0.29924994707107544,0.9427223801612854,0.014081317000091076
replace,self,3-decorates,6,A cake decorated with cherries,data_new/replace/3-decorates/6.png,0.3203258514404297,0.9070671200752258,0.018053384497761726
replace,self,3-decorates,7,A cake decorated with mints,data_new/replace/3-decorates/7.png,0.29621750116348267,0.9537279605865479,0.01794670894742012
replace,self,3-decorates,8,A cake decorated with macarons,data_new/replace/3-decorates/8.png,0.2902193069458008,0.9409917593002319,0.016438115388154984
replace,self,3-decorates,9,A cake decorated with caramel,data_new/replace/3-decorates/9.png,0.2910073399543762,0.9477395415306091,0.011535260826349258
replace,self,3-decorates,10,A cake decorated with raspberries,data_new/replace/3-decorates/10.png,0.3222501277923584,0.910169243812561,0.02761288546025753
replace,self,4-food,1,A painting of a girl holding an apple,data_new/replace/4-food/1.png,0.38149696588516235,0.8406711220741272,0.02523072063922882
replace,self,4-food,2,A painting of a girl holding a grape,data_new/replace/4-food/2.png,0.3347318172454834,0.8137911558151245,0.02618696726858616
replace,self,4-food,3,A painting of a girl holding a pineapple,data_new/replace/4-food/3.png,0.3854127824306488,0.8321192264556885,0.023056132718920708
replace,self,4-food,4,A painting of a girl holding a watermelon,data_new/replace/4-food/4.png,0.35197481513023376,0.9146525859832764,0.024441659450531006
replace,self,4-food,5,A painting of a girl holding a mango,data_new/replace/4-food/5.png,0.35241907835006714,0.8519210815429688,0.01698257401585579
replace,self,4-food,6,A painting of a girl holding a strawberry,data_new/replace/4-food/6.png,0.38599666953086853,0.8202755451202393,0.025390002876520157
replace,self,4-food,7,A painting of a girl holding a peach,data_new/replace/4-food/7.png,0.3723323941230774,0.8346127867698669,0.02022196352481842
replace,self,4-food,8,A painting of a girl holding a papaya,data_new/replace/4-food/8.png,0.32841944694519043,0.8599444031715393,0.017467696219682693
replace,self,4-food,9,A painting of a girl holding a kiwi,data_new/replace/4-food/9.png,0.3121137022972107,0.8140151500701904,0.022410137578845024
replace,self,4-food,10,A painting of a girl holding an orange,data_new/replace/4-food/10.png,0.33192163705825806,0.8498660326004028,0.013933536596596241
replace,self,5-object,1,A photo of a book on the table,data_new/replace/5-object/1.png,0.25711414217948914,0.8831371068954468,0.0398695133626461
replace,self,5-object,2,A photo of a cup on the table,data_new/replace/5-object/2.png,0.27289268374443054,0.9019080400466919,0.021994488313794136
replace,self,5-object,3,A photo of a lamp on the table,data_new/replace/5-object/3.png,0.2890155613422394,0.9095008373260498,0.008952409029006958
replace,self,5-object,4,A photo of a phone on the table,data_new/replace/5-object/4.png,0.26856958866119385,0.8261960744857788,0.03182319924235344
replace,self,5-object,5,A photo of a chair on the table,data_new/replace/5-object/5.png,0.28675609827041626,0.9083445072174072,0.02505422942340374
replace,self,5-object,6,A photo of a table on the table,data_new/replace/5-object/6.png,0.25213944911956787,0.9610185623168945,0.01088173221796751
replace,self,5-object,7,A photo of a pen on the table,data_new/replace/5-object/7.png,0.27055761218070984,0.952236533164978,0.01470173615962267
replace,self,5-object,8,A photo of a key on the table,data_new/replace/5-object/8.png,0.26267075538635254,0.8536728024482727,0.02926686219871044
replace,self,5-object,9,A photo of a bag on the table,data_new/replace/5-object/9.png,0.28570523858070374,0.8562520742416382,0.030866852030158043
replace,self,5-object,10,A photo of a clock on the table,data_new/replace/5-object/10.png,0.3027564585208893,0.8000329732894897,0.03161754086613655
replace,self,6-plants,1,A drawing of a garden filled with roses,data_new/replace/6-plants/1.png,0.32172662019729614,0.9280474185943604,0.0265037938952446
replace,self,6-plants,2,A drawing of a garden filled with tulips,data_new/replace/6-plants/2.png,0.3106285333633423,0.9092180728912354,0.030146783217787743
replace,self,6-plants,3,A drawing of a garden filled with daisies,data_new/replace/6-plants/3.png,0.3212459087371826,0.9580304622650146,0.020026084035634995
replace,self,6-plants,4,A drawing of a garden filled with lavender,data_new/replace/6-plants/4.png,0.3333771228790283,0.7899454832077026,0.058107491582632065
replace,self,6-plants,5,A drawing of a garden filled with lotus,data_new/replace/6-plants/5.png,0.34992825984954834,0.8638641834259033,0.0454421304166317
replace,self,6-plants,6,A drawing of a garden filled with orchids,data_new/replace/6-plants/6.png,0.3042643070220947,0.9455134868621826,0.027622882276773453
replace,self,6-plants,7,A drawing of a garden filled with peonies,data_new/replace/6-plants/7.png,0.3325018286705017,0.9261162281036377,0.03185411915183067
replace,self,6-plants,8,A drawing of a garden filled with violets,data_new/replace/6-plants/8.png,0.31056249141693115,0.9252830147743225,0.026556553319096565
replace,self,6-plants,9,A drawing of a garden filled with carnations,data_new/replace/6-plants/9.png,0.30973994731903076,0.9525080919265747,0.01773643121123314
replace,self,6-plants,10,A drawing of a garden filled with hydrangeas,data_new/replace/6-plants/10.png,0.34989458322525024,0.9135031700134277,0.0413496308028698
replace,self,7-text,1,A magazine cover with the headline “FASHION”,data_new/replace/7-text/1.png,0.2554759681224823,0.9089159369468689,0.006089773494750261
replace,self,7-text,2,A magazine cover with the headline “DESIGN”,data_new/replace/7-text/2.png,0.25303933024406433,0.8908849954605103,0.020207030698657036
replace,self,7-text,3,A magazine cover with the headline “TRENDS”,data_new/replace/7-text/3.png,0.2401701807975769,0.915906548500061,0.012972763739526272
replace,self,7-text,4,A magazine cover with the headline “BEAUTY”,data_new/replace/7-text/4.png,0.2587175667285919,0.8638167977333069,0.014562076888978481
replace,self,7-text,5,A magazine cover with the headline “LIFESTYLE”,data_new/replace/7-text/5.png,0.24122834205627441,0.9766466021537781,0.003596371505409479
replace,self,7-text,6,A magazine cover with the headline “MODERN”,data_new/replace/7-text/6.png,0.24263834953308105,0.9105627536773682,0.013532128185033798
replace,self,7-text,7,A magazine cover with the headline “ELEGANCE”,data_new/replace/7-text/7.png,0.25993812084198,0.865591824054718,0.008593990467488766
replace,self,7-text,8,A magazine cover with the headline “GLAMOUR”,data_new/replace/7-text/8.png,0.25993096828460693,0.8332538604736328,0.011929105967283249
replace,self,7-text,9,A magazine cover with the headline “FEATURES”,data_new/replace/7-text/9.png,0.23805370926856995,0.9460539221763611,0.0029192809015512466
replace,self,7-text,10,A magazine cover with the headline “INSPIRE”,data_new/replace/7-text/10.png,0.2263527512550354,0.8812070488929749,0.012187885120511055
replace,self,8-texture,1,A cup with a rough surface,data_new/replace/8-texture/1.png,0.30870744585990906,0.9841718673706055,0.009608728811144829
replace,self,8-texture,2,A cup with a shiny surface,data_new/replace/8-texture/2.png,0.30366456508636475,0.9929949641227722,0.005244710016995668
replace,self,8-texture,3,A cup with a matte surface,data_new/replace/8-texture/3.png,0.3031887412071228,0.9632941484451294,0.028384219855070114
replace,self,8-texture,4,A cup with a soft surface,data_new/replace/8-texture/4.png,0.30396682024002075,0.9914374351501465,0.003928665537387133
replace,self,8-texture,5,A cup with a hard surface,data_new/replace/8-texture/5.png,0.29374587535858154,0.9870191812515259,0.005325314123183489
replace,self,8-texture,6,A cup with a sticky surface,data_new/replace/8-texture/6.png,0.29350095987319946,0.9778193235397339,0.00687032425776124
replace,self,8-texture,7,A cup with a wet surface,data_new/replace/8-texture/7.png,0.28457778692245483,0.9699905514717102,0.011878784745931625
replace,self,8-texture,8,A cup with a dry surface,data_new/replace/8-texture/8.png,0.2871282696723938,0.9815651774406433,0.006032826844602823
replace,self,8-texture,9,A cup with a grainy surface,data_new/replace/8-texture/9.png,0.2955259680747986,0.9799349308013916,0.006964676082134247
replace,self,8-texture,10,A cup with a fuzzy surface,data_new/replace/8-texture/10.png,0.2976456880569458,0.9802521467208862,0.018209492787718773
replace,self,9-Transportation,1,A drawing of a boy driving a truck,data_new/replace/9-Transportation/1.png,0.25430822372436523,0.9509764909744263,0.012894660234451294
replace,self,9-Transportation,2,A drawing of a boy driving a motorcycle,data_new/replace/9-Transportation/2.png,0.3136850595474243,0.7706903219223022,0.02770792506635189
replace,self,9-Transportation,3,A drawing of a boy driving a bus,data_new/replace/9-Transportation/3.png,0.281670480966568,0.9056084156036377,0.017641866579651833
replace,self,9-Transportation,4,A drawing of a boy driving a bicycle,data_new/replace/9-Transportation/4.png,0.3392147421836853,0.778785765171051,0.05105305835604668
replace,self,9-Transportation,5,A drawing of a boy driving a scooter,data_new/replace/9-Transportation/5.png,0.29888832569122314,0.9113756418228149,0.021328367292881012
replace,self,9-Transportation,6,A drawing of a boy driving a train,data_new/replace/9-Transportation/6.png,0.31296244263648987,0.8976006507873535,0.03188236057758331
replace,self,9-Transportation,7,A drawing of a boy driving a submarine,data_new/replace/9-Transportation/7.png,0.335035502910614,0.804747998714447,0.026087524369359016
replace,self,9-Transportation,8,A drawing of a boy driving a helicopter,data_new/replace/9-Transportation/8.png,0.3224714994430542,0.8467056155204773,0.03790248930454254
replace,self,9-Transportation,9,A drawing of a boy driving a jet,data_new/replace/9-Transportation/9.png,0.295329749584198,0.8686032891273499,0.029430488124489784
